Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
000000206,,London,1879 [1878],S. Tinsley & Co.,Walter Forbes. [A novel.] By A. A,A. A.,"FORBES, Walter.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000206,British Library HMNTS 12641.b.30.
000000216,,London; Virtue & Yorston,1868,Virtue & Co.,"All for Greed. [A novel. The dedication signed: A. A. A., i.e. Marie Pauline Rose, Baroness Blaze de Bury.]","A., A. A.","BLAZE DE BURY, Marie Pauline Rose - Baroness",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000216,British Library HMNTS 12626.cc.2.
000000218,,London,1869,"Bradbury, Evans & Co.","Love the Avenger. By the author of “All for Greed.” [The dedication signed: A. A. A., i.e. Marie Pauline Rose, Baroness Blaze de Bury.]","A., A. A.","BLAZE DE BURY, Marie Pauline Rose - Baroness",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000218,British Library HMNTS 12625.dd.1.
000000472,,London,1851,James Darling,"Welsh Sketches, chiefly ecclesiastical, to the close of the twelfth century. By the author of “Proposals for Christian Union” (E. S. A. [i.e. Ernest Appleyard])","A., E. S.","Appleyard, Ernest Silvanus.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000472,British Library HMNTS 10369.bbb.15.
000000480,"A new edition, revised, etc.",London,1857,Wertheim & Macintosh,"[The World in which I live, and my place in it. By E. S. A. [i.e. Letitia Willgoss Stone.] Edited by ... J. H. Broome.]","A., E. S.","BROOME, John Henry.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000480,British Library HMNTS 9007.d.28.
000000481,"Fourth edition, revised, etc.",London,1875,William Macintosh,"[The World in which I live, and my place in it. By E. S. A. [i.e. Letitia Willgoss Stone.] Edited by ... J. H. Broome.]","A., E. S.","BROOME, John Henry.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000481,British Library HMNTS 9006.ee.10.
000000519,,London,1872,The Author,Lagonells. By the author of Darmayne (F. E. A. [i.e. Florence Emily Ashley]),"A., F. E.","ASHLEY, Florence Emily.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000519,British Library HMNTS 12637.e.3.
000000667,,"pp. 40. G. Bryan & Co: Oxford, 1898",,,"The Coming of Spring, and other poems. By J. A. [i.e. J. Andrews.]","A., J.|A., J.","ANDREWS, J. - Writer of Verse",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000667,British Library HMNTS 011652.g.73.
000000874,,London],1676,,"A Warning to the inhabitants of England, and London in particular ... By M. A. [i.e. Mary Adams.]",Remaʿ.,"ADAMS, Mary.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000874,British Library HMNTS 11645.bb.42.
000001143,,London,1679,,A Satyr against Vertue. (A poem: supposed to be spoken by a Town-Hector. [By John Oldham. The preface signed: T. A.]),"A., T.","OLDHAM, John.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001143,British Library HMNTS 11602.ee.10.(2.)
000001280,,Coventry,1802,Printed by J. Turner,"An Account of the many and great Loans, Benefactions and Charities, belonging to the City of Coventry ... A new edition. [The dedication signed: AB, CD, EF, GH, &c. By Edward Jackson and Samuel Carte.]",,"CARTE, Samuel.|JACKSON, Edward - Rector of Southam, and CARTE (Samuel)",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001280,British Library HMNTS 1430.g.17.
000001808,,Christiania,1859,,"Erindringer som Bidrag til Norges Historie fra 1800-1815. Anden Udgave ... Udgivet med nogle Rettelser og Tillæg af Christian C. A. Lange. Med Forfatterens Portraet, og hans Biographi af Amtmand J. C. Aall","AALL, Jacob.","AALL, J. C.|LANGE, Christian Christoph Andreas.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001808,British Library HMNTS 9425.cc.37.
000001905,,Firenze,1888,,Gli Studi storici in terra d'Otranto ... Frammenti estratti in gran parte dall' Archivio Storico Italiano ... a cura e spese di L(uigi) G(iuseppe) D(e) S(imone),"AAR, Ermanno - pseud. [i.e. Luigi Giuseppe Oronzo Mariano Raffaele Francesco Fortunato Felice de Simone.]","S., L. G. D.|SIMONE, Luigi Giuseppe Oronzo Mariano Raffaele Francesco Fortunato Felice de.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001905,British Library HMNTS 10136.g.22.
000001929,,Amsterdam,"1839, 38-54",,De Aardbol. Magazijn van hedendaagsche land- en volkenkunde ... Met platen en kaarten. [Deel 4-9 by P. H. W.],,"WITKAMP, Pieter Harme.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001929,British Library HMNTS 10002.g.16-19.
000002836,,Savona,1897,,Cronache Savonesi dal 1500 al 1570 ... Accresciute di documenti inediti pubblicate e annotate dal dott. G. Assereto,"ABATE, Giovanni Agostino.","ASSERETO, Giovanni.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002836,British Library HMNTS 10136.h.24.
000002854,,London,1865,E. Moxon & Co.,"See-Saw; a novel ... Edited [or rather, written] by W. W. Reade","ABATI, Francesco.","READE, William Winwood.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002854,British Library HMNTS 12623.bbb.12.
000002956,,Paris,1860-63,,"Géodésie d'une partie de la Haute Éthiopie, revue et rédigée par R. Radau. fasc. 1-3","ABBADIE, Antoine Thompson d'.","RADAU, Rodolphe.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002956,British Library HMNTS 10096.i.19.
000002957,,Paris,1873,,[With eleven maps.],"ABBADIE, Antoine Thompson d'.","RADAU, Rodolphe.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002957,British Library HMNTS 10095.i.13.
000003017,"Nueva edicion, anotada ... y continuada ... por J. J. de Acosta y Calbo.",Puerto-Rico,1866,,"[Historia geográfica, civil y politica de la Isla de S. Juan Bautista de Puerto Rico, Dala a luz A. Valladares de Sotomayor.]","ABBAD Y LASIERRA, Agustín Íñigo - Bishop of Barbastro","ACOSTA Y CALBO, José Julian de.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000003017,British Library HMNTS 10480.h.18.
000003131,,New York,1899,W. Abbatt,"The Crisis of the Revolution, being the story of Arnold and André now for the first time collected from all sources, and illustrated with views of all places identified with it ... Illustrations from original photographs by E. S. Bennett, etc","ABBATT, William.","ANDRÉ, John - Major|ARNOLD, Benedict.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000003131,British Library HMNTS 9603.g.14.
000004598,,Hull,1814,The Author,Peace: a lyric poem. [With prefatory address by F. Wrangham?],"ABBOTT, Thomas Eastoe.","WRANGHAM, Francis.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004598,British Library HMNTS 11641.f.1.
000004884,,London,1820,J. Hatchard & Son,"Abdallah; or, The Arabian Martyr: a Christian drama, in three acts. [In verse.] [By Thomas Foster Barham, the Elder.]",,"BARHAM, Thomas Foster - the Elder",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004884,British Library HMNTS 994.l.1.(7.)
000004976,"[Another edition.] Abdollatiphi historiæ Ægypti compendium ... Partim ipse vertit, partim a Pocockio versum edendum curavit, notisque illustravit J. White. Arab. & Lat.",Oxonii,1800,"J. Cooke, etc.",[Abdollatiphi Historiæ Ægypti compendium. [With a Latin version by Edward Pocock the younger.] Arab. & Lat.],,"WHITE, Joseph - Canon of Christ Church",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004976,British Library HMNTS 983.e.6.|British Library HMNTS 148.d.4.|British Library HMNTS G.15137.
000005382,,London,"1847, 48 [1846-48]",Punch Office,"The Comic History of England ... With ... coloured etchings, and ... woodcuts, by John Leech","A'BECKETT, Gilbert Abbott.","LEECH, John - Artist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005382,British Library HMNTS C.131.d.16.|British Library HMNTS 9505.d.3.
000005385,[Another edition.] Illustrated by John Leech.,London,[1897?],"Bradbury, Agnew & Co.","[The comic history of England ... With twenty coloured etchings, and two hundred woodcuts. By John Leech.]","A'BECKETT, Gilbert Abbott.","LEECH, John - Artist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005385,British Library HMNTS 9503.f.4.
000005389,[Another edition.],London,[1897?],"Bradbury, Agnew & Co.",[The Comic History of Rome ... Illustrated by John Leech.],"A'BECKETT, Gilbert Abbott.","LEECH, John - Artist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005389,British Library HMNTS 9039.i.11.
000005432,,Milano,1893,,Signa: opera in tre atti [founded on the novel entitled: “Signa” by Ouida] ... Traduzione ritmica di G. Mazzucato,"A'BECKETT, Gilbert Arthur - and RUDALL (H. A.)","MAZZUCATO, Giovanni Andrea.|RUDALL, H. A.|Ouida",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005432,British Library HMNTS 11779.g.8.(10.)
000006036,,London,1805,C. & R. Baldwin,"The Venetian Outlaw, a drama in three acts ... Translated [from the French translation of J. H. D. Zschokke's “Abällino, oder der grosse Bandit”] and adapted to the English stage by R. W. Elliston",,"ELLISTON, Robert William.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000006036,British Library HMNTS 642.i.25.|British Library HMNTS 164.g.68.
000006821,,Aberdeen,1837,J. Davidson & Co.,Description of the Coast between Aberdeen and Leith. [By William Duncan.]: Appendix,,"DUNCAN, William - Clerk of Police, Aberdeen",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000006821,British Library HMNTS 797.d.2.
000007521,,Wien,1896,,Aus Kaukasischen Ländern. Reisebriefe von H. Abich. Herausgegeben von dessen Witwe (A. Abich),"ABICH, Wilhelm Hermann.","ABICH, Adelaïde.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000007521,British Library HMNTS 10077.h.21.
000007630,,Abingdon,1898,W. H. Hooke,Selections from the Municipal Chronicles of the Borough of Abingdon from A.D. 1555 to A.D. 1897. Edited by B. Challenor,,"CHALLENOR, Bromley.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000007630,British Library HMNTS 10352.dd.26.
000008239,,Quebec,1899,L. J. Demers & Frère,"The Plains of Abraham, 1759, a spot sacred to the memory of Wolfe and Montcalm. An appeal to all Canada for the preservation of the Plains of Abraham as portion of the public domain",,"BROTANEK, Rudolf.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000008239,British Library HMNTS 10470.ff.20.
000008435,,London,1892,Effingham Wilson & Co.,The Witwatersrand Gold Mines. A true and unvarnished account of their origin and progress ... Translated ... by H. C. Simonsen,"ABRAHAM, Félix - Writer on Mining","SIMONSEN, H. C.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000008435,British Library HMNTS 7106.b.46.
000008440,,London,1894,Effingham Wilson,The New Era of the Goldmining Industry in the Witwatersrand ... Translated from the German by H. C. Simonsen. With an authentic map of the fields,"ABRAHAM, Félix - Writer on Mining","SIMONSEN, H. C.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000008440,British Library HMNTS 07108.g.6.
000011361,,Leipzig,[1894-96,,"Tirol und Vorarlberg ... Mit ... einer Karte, zahlreichen Illustrationen, etc","ACHLEITNER, Arthur - and UBL (E.)","UBL, E.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000011361,British Library HMNTS 10201.g.13.
000011852,,"pp. 40. W. Cann: Plymouth, [1876?]",,,"A Question of Holy Writ, suggested by a lecture on Buddha and Buddhism, delivered before the Literary Society of Exeter, by Lieut. Ackland, R.N., and answered in the following lines, etc. [By Joseph Plimsoll.]: Bible. Appendix. Miscellaneous","ACKLAND - Lieut., R.N","PLIMSOLL, Joseph.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000011852,British Library HMNTS 011650.k.89.(4.)
000013074,,London,1899,W. Thacker & Co.,"A Summer in High Asia: being a record of sport and travel in Baltistan and Ladakh ... With an appendix on Central Asian trade by Capt. S. H. Godfrey ... Illustrated from drawings by the author, photographs, and a map of the route","ADAIR, Frederick Edward Shafto.","GODFREY, Stuart Hill.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000013074,British Library HMNTS 10077.d.27.|British Library OC V 3030
000013364,,London,[1885],"Griffith, Farran & Co.","A Hand-book and History of Sidmouth from the Triassic period up to “Now.” By אדם [Adam, i.e. P. O. Hutchinson]. Illustrated ... With map",,"HUTCHINSON, Peter Orlando.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000013364,British Library HMNTS 10358.g.35.(4.)|British Library HMNTS 10352.d.32.
000014466,,London,[1860?],Adams & King,"The Historie of Eald Street, now called Old Street, with memoranda of the Parish of St. Luke and of the Chartreuse",,"KING - Printer, of Goswell Street",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000014466,British Library HMNTS 10352.i.24.
000014703,,1845,1846,,First (-Third) Annual Report on the Geology of the State of Vermont,,"ADAMS, Charles Baker.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000014703,British Library HMNTS 1254.h.9.
000015141,,London,1893,T. Fisher Unwin,The New Egypt. A social sketch. [Edited by J. W. Longsdon.],"ADAMS, Francis William Lauderdale.","LONGSDON, J. W.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000015141,British Library HMNTS 010096.e.61.
000015146,,London,1894,T. Fisher Unwin,Tiberius: a drama ... With introduction by W. M. Rossetti,"ADAMS, Francis William Lauderdale.","ROSSETTI, William Michael.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000015146,British Library HMNTS 11781.gg.4.
000016173,,enk,1817,"printed by W. Thorne, and published by J. Callow; J. Hunter; and J. Ridgway","Memoirs of the Life and Doctrines of the late John Hunter, Esq., etc","ADAMS, Joseph - M.D., F.L.S","HUNTER, John - F.R.S",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000016173,British Library HMNTS 982.c.27.|British Library HMNTS RB.23.b.4745.
000016543,,London,1816,John Murray,"The Narrative of Robert Adams, a sailor, who was wrecked on the Western Coast of Africa, in the year 1810 ... With a map, etc. [Edited by S. Cock.]","Adams, Robert - Sailor","COCK, Simon.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000016543,British Library HMNTS 983.e.7.|British Library HMNTS 147.e.3.|British Library HMNTS G.2842.
000016544,[Another edition.],Boston,1817,Wells & Lilley,"[The Narrative of Robert Adams, a sailor, who was wrecked on the Western Coast of Africa, in the year 1810 ... With a map, etc. [Edited by S. Cock.]]","ADAMS, Robert - Sailor","COCK, Simon.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000016544,British Library HMNTS 789.bb.21.
000017602,,London,1897,J. Bowden,East End Idylls ... With an introduction by the Hon. and Rev. J. G. Adderley,"Adcock, Arthur St. John","ADDERLEY, James Granville - Hon",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000017602,British Library HMNTS 012625.i.5.
000017752,,Upsaliæ,[1833],,"Acta historiam regis Chistierni II. illustrantia. Quae ... præside mag. Erico Gust. Geijer ... pro gradu philosophico p.p. P. A. Adde, etc","ADDE, Petrus Adolphus.","GEIJER, Erik Gustaf.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000017752,British Library HMNTS 9425.bb.13.
000018173,[Another edition.] With a complete index. [With a portrait engraved by Hopewood.],London,1804,Vernor & Hood,"[The Works of the late Right Honourable Joseph Addison, Esq. ... The third edition, etc. [Edited by Thomas Tickell.]]: Works","ADDISON, Joseph - Right Hon","TICKELL, Thomas.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000018173,British Library HMNTS 12269.d.7.
000018218,,Edinburgh,1859,James Nichol,The Poetical Works of Joseph Addison; Gay's Fables; and Somerville's Chase. With memoirs and critical dissertations by Rev. George Gilfillan: Two or more Works,"Addison, Joseph","Gilfillan, George",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000018218,British Library HMNTS 11603.f.1.
000018347,,Yverdon,1777,,"L'Esprit d'Addisson, ou les Beautés du Spectateur, du Babillard et du Gardien, consistant principalement dans une collection des feuilles de Mr. Addisson, avec un précis de sa vie. Ouvrage nouvellement traduit de l'anglais par Mr. J. P. A: Essays from the Spectator, Guardian and Tatler","ADDISON, Joseph - Right Hon","A., J. P. - Mr",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000018347,British Library HMNTS 12270.pp.15.
000018469,,Londini,1799,F. & C. Rivington,"Addisoni Epistola missa ex Italiâ ad illustrem Dominum Halifax, anno 1701. [A translation into Latin hexameter verse.] Auctore A. Murphy. (Addison's Letter to Lord Halifax.) Lat. & Eng: Miscellaneous Single Works","ADDISON, Joseph - Right Hon","MURPHY, Arthur.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000018469,British Library HMNTS 11647.f.44.(2.)
000019340,,St. Petersburg,1827,,"Augustin Freiherr von Meyerberg und seine Reise nach Russland. Nebst einer von ihm auf diese Reise veranstalteten Sammlung von Ansichten, Gebräuchen, Bildnissen u. s. w","ADELUNG, Friedrich von.","MAYER, Augustin - Baron von Mayerberg",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000019340,British Library HMNTS 10291.e.1.
000020207,,Berlin,1866,,Studien zur Cultur-Geschichte Polens. Bd. 1,"ADLER, Carl - Writer on Poland","Długosz, Jan.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000020207,British Library HMNTS 9475.bbb.21.
000020960,,London,1853,Addey & Co.,"The Diary and Houres of the Ladye Adolie, a faythfulle childe. 1552. [Edited, or rather written, by Lady C. M. Pepys.]",,"PEPYS, Charlotte Maria - Lady",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000020960,British Library HMNTS 12620.d.7.
000021119,,London,1874,Chapman & Hall,"Lays of Modern Oxford, by Adon. Illustrated by M. E. Edwards, F. Lockwood, and the author",,"EDWARDS, Mary Ellen.|LOCKWOOD, Frank - Sir",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000021119,British Library HMNTS 11650.g.9.
000021430,,London,1790,J. Johnson,"Adriano; or, the first of June, a poem. By the author of The Village Curate [i.e. James Hurdis]",,"Hurdis, James",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000021430,British Library HMNTS 11632.d.48.(2.)|British Library HMNTS 992.k.27.(3.)|British Library HMNTS 1508/379.(2.)
000021782,,London,[1817.],J. Johnston,"The Adventures of a Post Captain. By a Naval Officer. [In verse.] With ... engravings, by Mr. Williams",,"WILLIAMS, Samuel - Wood Engraver",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000021782,British Library HMNTS 11642.g.19.
000022060,,Sceaux,1883,,"Histoire de la Ville de Sceaux depuis son origine jusqu'à nos jours ... Sous la direction de ... M. Charaire ... Ouvrage illustré de gravures, etc","ADVIELLE, Victor.","CHARAIRE, Michel.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000022060,British Library HMNTS 10169.k.5.
000022105,,London,1795,J. Debrett,"The National Advocates, a poem. Affectionately inscribed to the Honourable Thomas Erskine and Vicary Gibbs, Esquire [in praise of their exertions in defence of Thomas Hardy, Horne Tooke and others]. [By William Hayley.]",,"GIBBS, Vicary - Sir",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000022105,British Library HMNTS 644.k.24.(5.)|British Library HMNTS 11641.h.11.(7.)
000022278,,Coblenz,1865,,Das Hochgebirge von Grindelwald. Naturbilder aus der schweizerischen Alpenwelt von C. Aeby und E. v. Fellenberg ... und Gerwer. Mit ... einer Karte in Farbendruck von R. Leuzinger,"AEBY, Christoph.","FELLENBERG, Edmund von.|GERWER, Rud.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000022278,British Library HMNTS 10196.f.21.
000023565,,London,1877,Chatto & Windus,Prometheus the Fire-giver. An attempted restoration of the lost first part of the Prometheian Trilogy of Æschylus. [By William Cox Bennett.]: Appendix,Aeschylus.,"BENNETT, William Cox.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000023565,British Library HMNTS 11652.c.8.
000024344,,Leipzig,1853,,"Cosmographiam Æthici Istrici ab Hieronymo ex Graeco in Latinum breviarium redactam ... separato libello expressam primum edidit Henricus Wuttke. Accedunt duae tabulae, etc",,"WUTTKE, Heinrich.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000024344,British Library HMNTS 10006.d.7.(1.)
000024878,,London,"1886, [1885]",Hodder & Stoughton,"The Children of Africa. Written for all English-speaking children. By ... the author of “The Children of India,” etc. [i.e. A. W. Marston]",,"MARSTON, Annie Wright.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000024878,British Library HMNTS 10095.e.1.
000027797,,London,[1834],William W. Clowes,"Prospectus of an Expedition into the Interior of South Africa from Dalagoa Bay, etc. [By W. D. Cooley.]: General Appendix",,"COOLEY, William Desborough.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000027797,British Library HMNTS 010096.h.36.
000028615,,"Carlstad, Stockholm",1852-63,,"Försök till en statsekonomisk statistik öfver Sverige. (Den statsekonomiska afdelningen af C. A. Agardh, den statistiska af C. E. Ljungberg.)","Agardh, C. A. (Carl Adolf)","LJUNGBERG, Carl Edvard.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028615,British Library HMNTS 10281.e.6.
000028630,,Carlstad,1857,,Inledning till Sveriges fysiska geografi. Jemte upplysningar rörande ankologisk och fysisk karta öfver Sverige,"Agardh, C. A. (Carl Adolf)","DAHLMAN, Carl Edvard.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028630,British Library HMNTS 10280.ee.3.
000028758,,Boston,"1866, 76",Ticknor & Fields; J. R. Osgood,"Geological Sketches. [The preface signed: E. C. A., i.e. Elizabeth C. Agassiz. With a portrait.]","Agassiz, Louis","A., E. C.|Agassiz, Elizabeth Cabot Cary",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028758,British Library HMNTS 7108.aa.5.
000028784,,Paris,1869,,"Voyage au Brésil, traduit de l'anglais ... par F. Vogeli. Ouvrage illustré, etc","Agassiz, Louis","Agassiz, Elizabeth Cabot Cary|VOGELI, Félix.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028784,British Library HMNTS 10481.g.14.
000028873,,London,1853,Chapman & Hall,"Agatha's Husband. A novel. By the author of “Olive,” etc. [i.e. D. M. Mulock, afterwards Craik.]",,"Craik, Dinah Maria Mulock",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028873,British Library HMNTS 12626.e.16.
000028876,[Another edition.] With illustrations by Walter Crane.,London,1875,Macillan & Co.,"[Agatha's Husband. A novel. By the author of “Olive,” etc. [i.e. D. M. Mulock, afterwards Craik.]]",,"CRANE, Walter.|Craik, Dinah Maria Mulock",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028876,British Library HMNTS 12619.h.27.
000029031,,London,1827,William Carpenter,The Age Reviewed: a satire. [In verse. By Robert Montgomery.],,"MONTGOMERY, Robert - Author of “Satan.”",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029031,British Library HMNTS 992.l.33.
000029032,"Second edition, etc.",London,1828,W. C. Wright,[The Age Reviewed: a satire. [In verse. By Robert Montgomery.]],,"MONTGOMERY, Robert - Author of “Satan.”",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029032,British Library HMNTS 11642.g.36.
000029285,,London,1876,Chapman & Hall,Through the Ages. A psychological romance. By the author of “The Honeymoon” [i.e. the Duke de Medina Pomar],,"MEDINA-POMAR, de - Duke",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029285,British Library HMNTS 12636.dd.5.
000029505,,A. Millar,1758,London,"Agis: a tragedy, etc. [In verse. By John Home.]",,"HOME, John - Author of “Douglas.”",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029505,British Library HMNTS 643.g.11.(7.)|British Library HMNTS 1607/5010.(2.)
000029844,,New York,1846,"Leavitt, Trow & Co.",The Gem of the Season: with twenty plates by Sartain. Edited by J. H. Agnew,"AGNEW, John Holmes.","SARTAIN, John.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029844,British Library HMNTS 11602.h.35.
000030269,,Allahabad],1880,,"Mathurá: a District Memoir. By F. S. Growse ... Second edition. Illustrated, revised and enlarged: Miscellaneous Official Publications",,"GROWSE, Frederic Salmon.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000030269,British Library HMNTS 10058.k.4.
000031858,,London,1823,G. & W. B. Whittaker,"Ahasuerus, the Wanderer; a dramatic legend [in verse] ... By the author of Sketches in Hindoostan, and other poems [i.e. Thomas Medwin]",,"MEDWIN, Thomas.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000031858,British Library HMNTS 993.i.1.
000032896,,Stuttgart,1887,,Skandinavische Hof- und Staatsgeschichten des neunzehnten Jahrhunderts. Nach den schwedischen Quellen des Dr. A. Ahnfelt von H. Martens,"AHNFELT, Arvid.","MARTENS, Klaus Heinrich Friedrich.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000032896,British Library HMNTS 9431.bb.16.
000033745,,London,1825,Longman & Co.,The Works of Anna Lætitia Barbauld. With a memoir by Lucy Aikin,"AIKIN, afterwards BARBAULD, Anna Laetitia.","Aikin, Lucy",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000033745,British Library HMNTS 994.h.2.|British Library HMNTS G.12828.; G.12829.
000033833,,D. Appleton & Co,1850,New York,The Vicar of Wakefield ... Illustrated with numerous engravings. With an account of the author's life and writings by J. Aikin: The Vicar of Wakefield,"Goldsmith, Oliver","AIKIN, John - M.D",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000033833,British Library HMNTS 12626.w.18.
000033881,"A new edition, with additions and corrections, and a supplement by R. H. Evans.",London,1810,R. H. Evans,[Essays on song-writing: with a collection of such English songs as are most eminent for poetical merit. To which are added some original pieces. [By J. Aikin.]],"AIKIN, John - M.D","EVANS, Robert Harding.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000033881,British Library HMNTS 11622.c.1.
000034361,,Санктпетербургъ,1889,,Кіево-Софійскій Соборъ. Изслѣдованіе древней мозаической и фресковой живописи ... Съ 14 рисунками. (Оттискъ изъ „Записокъ Импер. Русск. Археол. Общ.” т. iv.) [With manuscript addenda in English.],"AINALOV, Dmitry Vlas'evich - and REDIN (Egor Kuz'mich)","REDN, Egor Kuz'mich.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034361,British Library HMNTS 10291.i.10.
000034463,,London,1872,J. Maxwell & Co.,"Robert Ainsleigh. By the author of 'Lady Audley's Secret,' etc. [i.e. Mary E. Braddon]","AINSLEIGH, Robert.","Braddon, M. E. (Mary Elizabeth)",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034463,British Library HMNTS 12627.n.1.
